카테고리: 모든 카테고리

주,경제: (대한민국)
2017-12-31,54
2018-01-07,49
2018-01-14,57
2018-01-21,52
2018-01-28,57
2018-02-04,55
2018-02-11,46
2018-02-18,52
2018-02-25,48
2018-03-04,55
2018-03-11,60
2018-03-18,72
2018-03-25,78
2018-04-01,74
2018-04-08,71
2018-04-15,70
2018-04-22,71
2018-04-29,65
2018-05-06,61
2018-05-13,69
2018-05-20,72
2018-05-27,80
2018-06-03,64
2018-06-10,70
2018-06-17,71
2018-06-24,61
2018-07-01,64
2018-07-08,59
2018-07-15,60
2018-07-22,51
2018-07-29,51
2018-08-05,57
2018-08-12,57
2018-08-19,68
2018-08-26,63
2018-09-02,68
2018-09-09,68
2018-09-16,60
2018-09-23,55
2018-09-30,68
2018-10-07,70
2018-10-14,65
2018-10-21,81
2018-10-28,91
2018-11-04,75
2018-11-11,71
2018-11-18,68
2018-11-25,72
2018-12-02,73
2018-12-09,69
2018-12-16,76
2018-12-23,54
2018-12-30,60
2019-01-06,69
2019-01-13,67
2019-01-20,61
2019-01-27,63
2019-02-03,48
2019-02-10,63
2019-02-17,69
2019-02-24,56
2019-03-03,64
2019-03-10,72
2019-03-17,75
2019-03-24,72
2019-03-31,74
2019-04-07,71
2019-04-14,70
2019-04-21,65
2019-04-28,75
2019-05-05,77
2019-05-12,87
2019-05-19,95
2019-05-26,87
2019-06-02,78
2019-06-09,83
2019-06-16,77
2019-06-23,52
2019-06-30,74
2019-07-07,92
2019-07-14,82
2019-07-21,69
2019-07-28,72
2019-08-04,77
2019-08-11,77
2019-08-18,84
2019-08-25,86
2019-09-01,71
2019-09-08,67
2019-09-15,86
2019-09-22,75
2019-09-29,74
2019-10-06,71
2019-10-13,90
2019-10-20,76
2019-10-27,81
2019-11-03,84
2019-11-10,79
2019-11-17,77
2019-11-24,79
2019-12-01,73
2019-12-08,70
2019-12-15,72
2019-12-22,61
2019-12-29,55
2020-01-05,64
2020-01-12,63
2020-01-19,57
2020-01-26,65
2020-02-02,64
2020-02-09,60
2020-02-16,63
2020-02-23,66
2020-03-01,77
2020-03-08,69
2020-03-15,97
2020-03-22,99
2020-03-29,96
2020-04-05,97
2020-04-12,92
2020-04-19,85
2020-04-26,78
2020-05-03,82
2020-05-10,88
2020-05-17,90
2020-05-24,84
2020-05-31,92
2020-06-07,92
2020-06-14,100
2020-06-21,98
2020-06-28,89
2020-07-05,89
2020-07-12,80
2020-07-19,82
2020-07-26,78
2020-08-02,75
2020-08-09,80
2020-08-16,79
2020-08-23,74
2020-08-30,84
2020-09-06,88
2020-09-13,88
2020-09-20,92
2020-09-27,68
2020-10-04,86
2020-10-11,82
