기준일자 : 2020.10.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
날짜,경향신문(01100101),국민일보(01100201),내일신문(01100301),동아일보(01100401),문화일보(01100501),서울신문(01100611),세계일보(01100701),조선일보(01100801),중앙일보(01100901),한겨레(01101001),한국일보(01101101),경기일보(01200101),경인일보(01200201),강원도민일보(01300101),강원일보(01300201),대전일보(01400201),중도일보(01400351),중부매일(01400401),중부일보(01400501),충북일보(01400551),충청일보(01400601),충청투데이(01400701),경남신문(01500051),경남도민일보(01500151),경상일보(01500301),국제신문(01500401),대구일보(01500501),매일신문(01500601),부산일보(01500701),영남일보(01500801),울산매일(01500901),광주매일신문(01600201),광주일보(01600301),무등일보(01600501),전남일보(01600801),전북도민일보(01601001),전북일보(01601101),제민일보(01700101),한라일보(01700201),매일경제(02100101),머니투데이(02100201),서울경제(02100311),파이낸셜뉴스(02100501),한국경제(02100601),헤럴드경제(02100701),아시아경제(02100801),아주경제(02100851),전자신문(07100501),디지털타임스(07101201),KBS(08100101),MBC(08100201),SBS(08100301),YTN(08100401),OBS(08200101)
1990.01,1513,1644,,,,1561,1598,,,1273,1493,1682,,,,,,756,,,,,,,,,,,3325,,,,,2996,,,2287,,,,,,,,,,,,,,,,,
1990.02,1519,1682,,,,1628,1672,,,1328,1688,2092,,,,,,2382,,,,,,,,,,,3190,,,,,3580,,,2228,,,,,,,,,,,,,,,,,
1990.03,1801,1960,,,,2022,1979,,,1483,1876,1266,8470,,,,,2847,,,,,,,,,,,3704,,,,,4278,,,2546,,,,,,,,,,,,,,,,,
1990.04,1569,1702,,,,1810,1652,,,1381,1708,3132,8190,,,,,2434,,,,,,,,,,,3341,,,,,3699,,,2234,,,,,,,,,,,,,,,,,
1990.05,1769,1871,,,,1869,1857,,,1433,1884,3370,8816,,,,,2848,,,,,,,,,,,3839,,,,,3936,,,2656,,,,,,,,,,,,,,,,,
1990.06,1666,1853,,,,1977,1898,,,1800,1926,3473,8008,,,,,3239,,,,2053,,,,,,,3709,,,,,3840,,,2229,,,,,,,,,,,,,,,,,
1990.07,1632,1797,,,,1996,1740,,,1691,1902,3409,8705,,,,,3327,,,,3174,,,,,,,3558,,,,,3789,,,2292,,,,,,,,,,,,,,,,,
1990.08,1631,1808,,,,1981,1832,,,1663,1885,3507,8439,,,,,3462,,,,3435,,,,,,,3902,,,,,3857,,,2524,,,,,,,,,,,,,,,,,
1990.09,1457,1500,,,,1822,1726,,,1585,1812,3233,7180,,,,,3176,,,,3209,,,,,,,3264,,,,,3622,,,2072,,,,,,,,,,,,,,,,,
1990.10,1620,1495,,,,1840,1624,,,1529,1769,3298,7764,,,,,2934,,,,3284,,,,,,,3533,,,,,,,,2101,,,,,,,,,,,,,,,,,
1990.11,1684,1586,,,,1936,1694,,,1651,1940,3094,7446,,,,,3286,,,,3524,,,,,,,3598,,,,,,,,2129,,,,,,,,,,,,,,,,,
1990.12,1629,1525,,,,2014,1704,,,1718,1912,3192,7301,,,,,3258,,,,3394,,,,,,,3853,,,,,,,,1765,,,,,,,,,,,,,,,,,
1991.01,1527,1488,,,,1774,1554,,,1575,1661,3091,7584,,,,,2882,,,,3168,,,,,,,3404,,,,,,,,2181,,,,,,,,,,,,,,,,,
1991.02,1277,1258,,,,1612,1308,,,1347,1495,2817,6272,,,,,2547,,,,2798,,,,,,,2756,,,,,,,,1765,,,,,,,,,,,,,,,,,
1991.03,1702,1521,,,,2081,1767,,,1751,1801,3176,7427,,,,,2890,,,,3484,,,,,,,3450,,,,,,,,1988,,,,,,,,,,,,,,,,,
1991.04,2001,1559,,,,2025,1626,,,1551,1767,3303,7079,,,,,2716,,,,3301,,,,,,,3512,,,,,,,,1952,,,,,,,,,,,,,,,,,
1991.05,2047,1632,,,,2035,1756,,,1574,1800,3426,7242,,,,,2996,,,,3675,,,,,,,3620,,,,,,,,2252,,,,,,,,,,,,,,,,,
1991.06,2135,1508,,,,1937,1796,,,1605,1864,3135,6631,,,,,2600,,,,3434,,,,,,,3484,,,,,,,2713,1953,,,,,,,,,,,,,,,,,
1991.07,2101,1640,,,,1848,1834,,,1643,1907,3372,7582,,,,,2833,,,,3491,,,,,,,3967,,,,,,,2795,3034,,,,,,,,,,,,,,,,,
1991.08,1889,1624,,,,1817,1751,,,1638,1774,3269,7442,,,,,2917,,,,3646,,,,,,,3774,,,,,,,2839,3005,,,,,,,,,,,,,,,,,
1991.09,1938,1428,,,,1696,1753,,,1437,1649,3033,6336,,,,,2925,,,,3329,,,,,,,3293,,,,,,,2396,2647,,,,,,,,,,,,,,,,,
1991.10,2115,1637,,,,1884,1816,,,1556,1890,3452,6895,,,,,2874,,,,3571,,,,,,,3699,,,,,,,2837,3235,,,,,,,,,,,,,,,,,
1991.11,2017,1618,,,2037,1886,1809,,,1536,1847,3341,6860,,,,,3270,,,,3681,,,,,,,4150,,,,,,,2649,2878,,,,,,,,,,,,,,,,,
1991.12,2207,1532,,,2718,1900,1880,,,1540,2094,3582,6505,,,,,3186,,,,3821,,,,,,,3611,,,,,,,2563,2782,,,,,,,,,,,,,,,,,
1992.01,2058,1928,,,2687,1994,2291,,,1758,2383,3557,2848,,,,,3083,,,,3547,,,,,,,4150,,,,,,,2473,2563,,,,,,,3347,,,,,,,,,,
1992.02,1909,1732,,,1853,2133,2250,,,1748,2160,3106,2716,,,,,2786,,,,3177,,,,,,,3843,,,,,,,2088,1982,,,,,,,3214,,,,,,,,,,
1992.03,1976,1831,,,2873,2373,2503,,,1940,2293,3677,3182,,,,,3367,,,,3429,,,,,,,3301,,,,,,,2505,2253,,,,,,,3646,,,,,,,,,,
1992.04,1999,1876,,,2895,2428,2533,,,1939,1695,3837,3181,,,,,3310,,,,3579,,,,,,,3396,,,,,,,2436,2442,,,,,,,3693,,,,,,,,,,
1992.05,1955,1894,,,3077,2410,2515,,,1983,1726,3711,3044,,,,,3119,,,,3516,,,,,,,3623,,,,,,,2651,5595,,,,,,,3954,,,,,,,,,,
1992.06,2042,2109,,,2967,2322,2561,,,1974,1810,4121,3607,,,,,3203,,,,3316,,,,,,,4547,,,,,,,2365,5644,,,,,,,3967,,,,,,,,,,
