기간,2018-01-01 ~ 2020-10-30
기기,전체
성별,전체
연령,전체
지역,전체
,
주제,"통합검색, 검색어 변화량 추이"
일,경제
2018-01-01,35
2018-02-01,35
2018-03-01,37
2018-04-01,32
2018-05-01,38
2018-06-01,49
2018-07-01,50
2018-08-01,56
2018-09-01,36
2018-10-01,60
2018-11-01,48
2018-12-01,41
2019-01-01,39
2019-02-01,30
2019-03-01,41
2019-04-01,52
2019-05-01,56
2019-06-01,65
2019-07-01,46
2019-08-01,51
2019-09-01,39
2019-10-01,40
2019-11-01,33
2019-12-01,33
2020-01-01,31
2020-02-01,44
2020-03-01,100
2020-04-01,64
2020-05-01,46
2020-06-01,49
2020-07-01,40
2020-08-01,36
2020-09-01,38
,
,
주제,"통합검색, 성별 검색량 비교"
성별,경제
여성,32
남성,68
,
,
주제,"통합검색, 연령별 검색량 비교"
연령,경제
10대,0
20대,3
30대,11
40대,37
50대,34
60대 이상,15
,
,
주제,"통합검색, 지역별 검색량"
지역,경제
강원,9
경기,100
경남,21
경북,15
광주,14
대구,19
대전,12
부산,25
서울,98
세종,2
울산,8
인천,18
전남,10
전북,13
제주,6
충남,12
충북,13
