기간,2018-01-01 ~ 2020-10-16
기기,전체
성별,전체
연령,전체
지역,전체
,
주제,"통합검색, 검색어 변화량 추이"
일,경제
2018-01-01,26
2018-01-08,24
2018-01-15,23
2018-01-22,21
2018-01-29,26
2018-02-05,33
2018-02-12,21
2018-02-19,27
2018-02-26,23
2018-03-05,25
2018-03-12,24
2018-03-19,30
2018-03-26,24
2018-04-02,25
2018-04-09,21
2018-04-16,22
2018-04-23,22
2018-04-30,24
2018-05-07,25
2018-05-14,26
2018-05-21,23
2018-05-28,36
2018-06-04,26
2018-06-11,38
2018-06-18,46
2018-06-25,34
2018-07-02,40
2018-07-09,33
2018-07-16,35
2018-07-23,32
2018-07-30,30
2018-08-06,28
2018-08-13,50
2018-08-20,52
2018-08-27,29
2018-09-03,31
2018-09-10,29
2018-09-17,24
2018-09-24,22
2018-10-01,30
2018-10-08,38
2018-10-15,31
2018-10-22,54
2018-10-29,56
2018-11-05,37
2018-11-12,33
2018-11-19,32
2018-11-26,30
2018-12-03,33
2018-12-10,30
2018-12-17,28
2018-12-24,26
2018-12-31,30
2019-01-07,26
2019-01-14,24
2019-01-21,25
2019-01-28,25
2019-02-04,21
2019-02-11,27
2019-02-18,23
2019-02-25,23
2019-03-04,23
2019-03-11,25
2019-03-18,43
2019-03-25,27
2019-04-01,43
2019-04-08,40
2019-04-15,24
2019-04-22,41
2019-04-29,30
2019-05-06,35
2019-05-13,59
2019-05-20,36
2019-05-27,31
2019-06-03,82
2019-06-10,52
2019-06-17,29
2019-06-24,29
2019-07-01,33
2019-07-08,36
2019-07-15,30
2019-07-22,27
2019-07-29,33
2019-08-05,51
2019-08-12,33
2019-08-19,29
2019-08-26,29
2019-09-02,28
2019-09-09,27
2019-09-16,30
2019-09-23,28
2019-09-30,27
2019-10-07,25
2019-10-14,26
2019-10-21,34
2019-10-28,25
2019-11-04,25
2019-11-11,24
2019-11-18,25
2019-11-25,21
2019-12-02,25
2019-12-09,28
2019-12-16,21
2019-12-23,19
2019-12-30,22
2020-01-06,21
2020-01-13,22
2020-01-20,20
2020-01-27,23
2020-02-03,25
2020-02-10,48
2020-02-17,28
2020-02-24,34
2020-03-02,36
2020-03-09,72
2020-03-16,100
2020-03-23,78
2020-03-30,57
2020-04-06,50
2020-04-13,46
2020-04-20,44
2020-04-27,29
2020-05-04,29
2020-05-11,33
2020-05-18,34
2020-05-25,35
2020-06-01,37
2020-06-08,36
2020-06-15,37
2020-06-22,30
2020-06-29,29
2020-07-06,25
2020-07-13,25
2020-07-20,29
2020-07-27,28
2020-08-03,25
2020-08-10,27
2020-08-17,25
2020-08-24,25
2020-08-31,29
2020-09-07,29
2020-09-14,28
2020-09-21,28
2020-09-28,19
2020-10-05,21
,
,
주제,"통합검색, 성별 검색량 비교"
성별,경제
여성,32
남성,68
,
,
주제,"통합검색, 연령별 검색량 비교"
연령,경제
10대,0
20대,3
30대,11
40대,37
50대,34
60대 이상,15
,
,
주제,"통합검색, 지역별 검색량"
지역,경제
강원,9
경기,100
경남,21
경북,15
광주,14
대구,19
대전,12
부산,25
서울,99
세종,1
울산,8
인천,18
전남,10
전북,13
제주,7
충남,12
충북,13
